id,alcohol,cigarette,marijuana,sex
538,yes,yes,Medium,Female
539,yes,yes,Medium,Female
540,yes,yes,Medium,Female
541,yes,yes,Medium,Female
542,yes,yes,Medium,Female
543,yes,yes,Medium,Female
544,yes,yes,Medium,Female
545,yes,yes,Medium,Female
546,yes,yes,Medium,Female
547,yes,yes,Medium,Female
548,yes,yes,Medium,Female
549,yes,yes,Medium,Female
550,yes,yes,Medium,Female
551,yes,yes,Medium,Female
552,yes,yes,Medium,Female
553,yes,yes,Medium,Female
554,yes,yes,Medium,Female
555,yes,yes,Medium,Female
556,yes,yes,Medium,Female
557,yes,yes,Medium,Female
558,yes,yes,Medium,Female
559,yes,yes,Medium,Female
560,yes,yes,Medium,Female
561,yes,yes,Medium,Female
562,yes,yes,Medium,Female
563,yes,yes,Medium,Female
564,yes,yes,Medium,Female
565,yes,yes,Medium,Female
566,yes,yes,Medium,Female
567,yes,yes,Medium,Female
568,yes,yes,Medium,Female
569,yes,yes,Medium,Female
570,yes,yes,Medium,Female
571,yes,yes,Medium,Female
572,yes,yes,Medium,Female
573,yes,yes,Medium,Female
574,yes,yes,Medium,Female
575,yes,yes,Medium,Female
576,yes,yes,Medium,Female
577,yes,yes,Medium,Female
578,yes,yes,Medium,Female
579,yes,yes,Medium,Female
580,yes,yes,Medium,Female
581,yes,yes,Medium,Female
582,yes,yes,Medium,Female
583,yes,yes,Medium,Female
584,yes,yes,Medium,Female
585,yes,yes,Medium,Female
586,yes,yes,Medium,Female
587,yes,yes,Medium,Female
588,yes,yes,Medium,Female
589,yes,yes,Medium,Female
590,yes,yes,Medium,Female
591,yes,yes,Medium,Female
592,yes,yes,Medium,Female
593,yes,yes,Medium,Female
594,yes,yes,Medium,Female
595,yes,yes,Medium,Female
596,yes,yes,Medium,Female
597,yes,yes,Medium,Female
598,yes,yes,Medium,Female
599,yes,yes,Medium,Female
600,yes,yes,Medium,Female
601,yes,yes,Medium,Female
602,yes,yes,Medium,Female
603,yes,yes,Medium,Female
604,yes,yes,Medium,Female
605,yes,yes,Medium,Female
606,yes,yes,Medium,Female
607,yes,yes,Medium,Female
608,yes,yes,Medium,Female
609,yes,yes,Medium,Female
610,yes,yes,Medium,Female
611,yes,yes,Medium,Female
612,yes,yes,Medium,Female
613,yes,yes,Medium,Female
614,yes,yes,Medium,Female
615,yes,yes,Medium,Female
616,yes,yes,Medium,Female
617,yes,yes,Medium,Female
618,yes,yes,Medium,Female
619,yes,yes,Medium,Female
620,yes,yes,Medium,Female
621,yes,yes,Medium,Female
622,yes,yes,Medium,Female
623,yes,yes,Medium,Female
624,yes,yes,Medium,Female
625,yes,yes,Medium,Female
752,yes,yes,High,Female
753,yes,yes,High,Female
754,yes,yes,High,Female
755,yes,yes,High,Female
756,yes,yes,High,Female
757,yes,yes,High,Female
758,yes,yes,High,Female
759,yes,yes,High,Female
760,yes,yes,High,Female
761,yes,yes,High,Female
762,yes,yes,High,Female
763,yes,yes,High,Female
764,yes,yes,High,Female
765,yes,yes,High,Female
766,yes,yes,High,Female
767,yes,yes,High,Female
768,yes,yes,High,Female
769,yes,yes,High,Female
770,yes,yes,High,Female
771,yes,yes,High,Female
772,yes,yes,High,Female
773,yes,yes,High,Female
774,yes,yes,High,Female
775,yes,yes,High,Female
776,yes,yes,High,Female
777,yes,yes,High,Female
778,yes,yes,High,Female
779,yes,yes,High,Female
780,yes,yes,High,Female
781,yes,yes,High,Female
782,yes,yes,High,Female
783,yes,yes,High,Female
784,yes,yes,High,Female
785,yes,yes,High,Female
786,yes,yes,High,Female
787,yes,yes,High,Female
788,yes,yes,High,Female
789,yes,yes,High,Female
790,yes,yes,High,Female
791,yes,yes,High,Female
792,yes,yes,High,Female
793,yes,yes,High,Female
794,yes,yes,High,Female
795,yes,yes,High,Female
796,yes,yes,High,Female
797,yes,yes,High,Female
798,yes,yes,High,Female
799,yes,yes,High,Female
800,yes,yes,High,Female
801,yes,yes,High,Female
802,yes,yes,High,Female
803,yes,yes,High,Female
804,yes,yes,High,Female
805,yes,yes,High,Female
806,yes,yes,High,Female
807,yes,yes,High,Female
808,yes,yes,High,Female
809,yes,yes,High,Female
810,yes,yes,High,Female
811,yes,yes,High,Female
812,yes,yes,High,Female
813,yes,yes,High,Female
814,yes,yes,High,Female
815,yes,yes,High,Female
816,yes,yes,High,Female
817,yes,yes,High,Female
818,yes,yes,High,Female
819,yes,yes,High,Female
820,yes,yes,High,Female
821,yes,yes,High,Female
822,yes,yes,High,Female
823,yes,yes,High,Female
824,yes,yes,High,Female
825,yes,yes,High,Female
826,yes,yes,High,Female
827,yes,yes,High,Female
828,yes,yes,High,Female
829,yes,yes,High,Female
830,yes,yes,High,Female
831,yes,yes,High,Female
832,yes,yes,High,Female
833,yes,yes,High,Female
834,yes,yes,High,Female
835,yes,yes,High,Female
836,yes,yes,High,Female
837,yes,yes,High,Female
838,yes,yes,High,Female
839,yes,yes,High,Female
840,yes,yes,High,Female
841,yes,yes,High,Female
842,yes,yes,High,Female
843,yes,yes,High,Female
844,yes,yes,High,Female
845,yes,yes,High,Female
846,yes,yes,High,Female
904,yes,yes,No/Low,Male
905,yes,yes,No/Low,Male
906,yes,yes,No/Low,Male
907,yes,yes,No/Low,Male
908,yes,yes,No/Low,Male
909,yes,yes,No/Low,Male
910,yes,yes,No/Low,Male
911,yes,yes,No/Low,Male
912,yes,yes,No/Low,Male
913,yes,yes,No/Low,Male
914,yes,yes,No/Low,Male
915,yes,yes,No/Low,Male
916,yes,yes,No/Low,Male
917,yes,yes,No/Low,Male
918,yes,yes,No/Low,Male
919,yes,yes,No/Low,Male
920,yes,yes,No/Low,Male
921,yes,yes,No/Low,Male
922,yes,yes,No/Low,Male
923,yes,yes,No/Low,Male
924,yes,yes,No/Low,Male
925,yes,yes,No/Low,Male
926,yes,yes,No/Low,Male
927,yes,yes,No/Low,Male
928,yes,yes,No/Low,Male
929,yes,yes,No/Low,Male
930,yes,yes,No/Low,Male
931,yes,yes,No/Low,Male
932,yes,yes,No/Low,Male
933,yes,yes,No/Low,Male
934,yes,yes,No/Low,Male
935,yes,yes,No/Low,Male
936,yes,yes,No/Low,Male
937,yes,yes,No/Low,Male
938,yes,yes,No/Low,Male
939,yes,yes,No/Low,Male
940,yes,yes,No/Low,Male
941,yes,yes,No/Low,Male
942,yes,yes,No/Low,Male
943,yes,yes,No/Low,Male
944,yes,yes,No/Low,Male
945,yes,yes,No/Low,Male
946,yes,yes,No/Low,Male
947,yes,yes,No/Low,Male
948,yes,yes,No/Low,Male
949,yes,yes,No/Low,Male
950,yes,yes,No/Low,Male
951,yes,yes,No/Low,Male
952,yes,yes,No/Low,Male
953,yes,yes,No/Low,Male
954,yes,yes,No/Low,Male
955,yes,yes,No/Low,Male
956,yes,yes,No/Low,Male
957,yes,yes,No/Low,Male
958,yes,yes,No/Low,Male
959,yes,yes,No/Low,Male
960,yes,yes,No/Low,Male
961,yes,yes,No/Low,Male
962,yes,yes,No/Low,Male
963,yes,yes,No/Low,Male
964,yes,yes,No/Low,Male
965,yes,yes,No/Low,Male
966,yes,yes,No/Low,Male
967,yes,yes,No/Low,Male
968,yes,yes,No/Low,Male
969,yes,yes,No/Low,Male
970,yes,yes,No/Low,Male
971,yes,yes,No/Low,Male
972,yes,yes,No/Low,Male
973,yes,yes,No/Low,Male
974,yes,yes,No/Low,Male
975,yes,yes,No/Low,Male
976,yes,yes,No/Low,Male
977,yes,yes,No/Low,Male
978,yes,yes,No/Low,Male
979,yes,yes,No/Low,Male
980,yes,yes,No/Low,Male
981,yes,yes,No/Low,Male
982,yes,yes,No/Low,Male
983,yes,yes,No/Low,Male
984,yes,yes,No/Low,Male
985,yes,yes,No/Low,Male
986,yes,yes,No/Low,Male
987,yes,yes,No/Low,Male
988,yes,yes,No/Low,Male
989,yes,yes,No/Low,Male
990,yes,yes,No/Low,Male
991,yes,yes,No/Low,Male
1073,yes,yes,Medium,Male
1074,yes,yes,Medium,Male
1075,yes,yes,Medium,Male
1076,yes,yes,Medium,Male
1077,yes,yes,Medium,Male
1078,yes,yes,Medium,Male
1079,yes,yes,Medium,Male
1080,yes,yes,Medium,Male
1081,yes,yes,Medium,Male
1082,yes,yes,Medium,Male
1083,yes,yes,Medium,Male
1084,yes,yes,Medium,Male
1085,yes,yes,Medium,Male
1086,yes,yes,Medium,Male
1087,yes,yes,Medium,Male
1088,yes,yes,Medium,Male
1089,yes,yes,Medium,Male
1090,yes,yes,Medium,Male
1091,yes,yes,Medium,Male
1092,yes,yes,Medium,Male
1093,yes,yes,Medium,Male
1094,yes,yes,Medium,Male
1095,yes,yes,Medium,Male
1096,yes,yes,Medium,Male
1097,yes,yes,Medium,Male
1098,yes,yes,Medium,Male
1099,yes,yes,Medium,Male
1100,yes,yes,Medium,Male
1101,yes,yes,Medium,Male
1102,yes,yes,Medium,Male
1103,yes,yes,Medium,Male
1104,yes,yes,Medium,Male
1105,yes,yes,Medium,Male
1106,yes,yes,Medium,Male
1107,yes,yes,Medium,Male
1108,yes,yes,Medium,Male
1109,yes,yes,Medium,Male
1110,yes,yes,Medium,Male
1111,yes,yes,Medium,Male
1112,yes,yes,Medium,Male
1113,yes,yes,Medium,Male
1114,yes,yes,Medium,Male
1115,yes,yes,Medium,Male
1116,yes,yes,Medium,Male
1117,yes,yes,Medium,Male
1118,yes,yes,Medium,Male
1119,yes,yes,Medium,Male
1120,yes,yes,Medium,Male
1121,yes,yes,Medium,Male
1122,yes,yes,Medium,Male
1123,yes,yes,Medium,Male
1124,yes,yes,Medium,Male
1125,yes,yes,Medium,Male
1126,yes,yes,Medium,Male
1127,yes,yes,Medium,Male
1128,yes,yes,Medium,Male
1129,yes,yes,Medium,Male
1130,yes,yes,Medium,Male
1131,yes,yes,Medium,Male
1132,yes,yes,Medium,Male
1133,yes,yes,Medium,Male
1134,yes,yes,Medium,Male
1135,yes,yes,Medium,Male
1136,yes,yes,Medium,Male
1137,yes,yes,Medium,Male
1138,yes,yes,Medium,Male
1139,yes,yes,Medium,Male
1140,yes,yes,Medium,Male
1141,yes,yes,Medium,Male
1142,yes,yes,Medium,Male
1143,yes,yes,Medium,Male
1144,yes,yes,Medium,Male
1145,yes,yes,Medium,Male
1146,yes,yes,Medium,Male
1147,yes,yes,Medium,Male
1148,yes,yes,Medium,Male
1149,yes,yes,Medium,Male
1150,yes,yes,Medium,Male
1151,yes,yes,Medium,Male
1152,yes,yes,Medium,Male
1153,yes,yes,Medium,Male
1154,yes,yes,Medium,Male
1155,yes,yes,Medium,Male
1156,yes,yes,Medium,Male
1157,yes,yes,Medium,Male
1158,yes,yes,Medium,Male
1159,yes,yes,Medium,Male
1160,yes,yes,Medium,Male
1161,yes,yes,Medium,Male
1162,yes,yes,Medium,Male
1163,yes,yes,Medium,Male
1164,yes,yes,Medium,Male
1165,yes,yes,Medium,Male
1166,yes,yes,Medium,Male
1167,yes,yes,Medium,Male
1168,yes,yes,Medium,Male
1169,yes,yes,Medium,Male
1170,yes,yes,Medium,Male
1171,yes,yes,Medium,Male
1172,yes,yes,Medium,Male
1173,yes,yes,Medium,Male
1174,yes,yes,Medium,Male
1175,yes,yes,Medium,Male
1176,yes,yes,Medium,Male
1177,yes,yes,Medium,Male
1178,yes,yes,Medium,Male
1179,yes,yes,Medium,Male
1180,yes,yes,Medium,Male
1181,yes,yes,Medium,Male
1182,yes,yes,Medium,Male
1183,yes,yes,Medium,Male
1184,yes,yes,Medium,Male
1185,yes,yes,Medium,Male
1186,yes,yes,Medium,Male
1187,yes,yes,Medium,Male
1188,yes,yes,Medium,Male
1189,yes,yes,Medium,Male
1190,yes,yes,Medium,Male
1191,yes,yes,Medium,Male
1192,yes,yes,Medium,Male
1193,yes,yes,Medium,Male
1194,yes,yes,Medium,Male
1195,yes,yes,Medium,Male
1196,yes,yes,Medium,Male
1197,yes,yes,Medium,Male
1198,yes,yes,Medium,Male
1199,yes,yes,Medium,Male
1200,yes,yes,Medium,Male
1201,yes,yes,Medium,Male
1202,yes,yes,Medium,Male
1203,yes,yes,Medium,Male
1204,yes,yes,Medium,Male
1205,yes,yes,Medium,Male
1206,yes,yes,Medium,Male
1207,yes,yes,Medium,Male
1208,yes,yes,Medium,Male
1209,yes,yes,Medium,Male
1210,yes,yes,Medium,Male
1211,yes,yes,Medium,Male
1212,yes,yes,Medium,Male
1213,yes,yes,Medium,Male
1214,yes,yes,Medium,Male
1215,yes,yes,Medium,Male
1216,yes,yes,Medium,Male
1217,yes,yes,Medium,Male
1218,yes,yes,Medium,Male
1219,yes,yes,Medium,Male
1220,yes,yes,Medium,Male
1221,yes,yes,Medium,Male
1222,yes,yes,Medium,Male
1223,yes,yes,Medium,Male
1224,yes,yes,Medium,Male
1225,yes,yes,Medium,Male
1226,yes,yes,Medium,Male
1227,yes,yes,Medium,Male
1228,yes,yes,Medium,Male
1229,yes,yes,Medium,Male
1230,yes,yes,Medium,Male
1231,yes,yes,Medium,Male
1232,yes,yes,Medium,Male
1233,yes,yes,Medium,Male
1234,yes,yes,Medium,Male
1235,yes,yes,Medium,Male
1236,yes,yes,Medium,Male
1237,yes,yes,Medium,Male
1238,yes,yes,Medium,Male
1239,yes,yes,Medium,Male
1240,yes,yes,Medium,Male
1241,yes,yes,Medium,Male
1242,yes,yes,Medium,Male
1243,yes,yes,Medium,Male
1244,yes,yes,Medium,Male
1245,yes,yes,Medium,Male
1246,yes,yes,Medium,Male
1247,yes,yes,Medium,Male
1248,yes,yes,Medium,Male
1249,yes,yes,Medium,Male
1323,yes,yes,High,Male
1324,yes,yes,High,Male
1325,yes,yes,High,Male
1326,yes,yes,High,Male
1327,yes,yes,High,Male
1328,yes,yes,High,Male
1329,yes,yes,High,Male
1330,yes,yes,High,Male
1331,yes,yes,High,Male
1332,yes,yes,High,Male
1333,yes,yes,High,Male
1334,yes,yes,High,Male
1335,yes,yes,High,Male
1336,yes,yes,High,Male
1337,yes,yes,High,Male
1338,yes,yes,High,Male
1339,yes,yes,High,Male
1340,yes,yes,High,Male
1341,yes,yes,High,Male
1342,yes,yes,High,Male
1343,yes,yes,High,Male
1344,yes,yes,High,Male
1345,yes,yes,High,Male
1346,yes,yes,High,Male
1347,yes,yes,High,Male
1348,yes,yes,High,Male
1349,yes,yes,High,Male
1350,yes,yes,High,Male
1351,yes,yes,High,Male
1352,yes,yes,High,Male
1353,yes,yes,High,Male
1354,yes,yes,High,Male
1355,yes,yes,High,Male
1356,yes,yes,High,Male
1357,yes,yes,High,Male
1358,yes,yes,High,Male
1359,yes,yes,High,Male
1360,yes,yes,High,Male
1361,yes,yes,High,Male
1362,yes,yes,High,Male
1363,yes,yes,High,Male
1364,yes,yes,High,Male
1365,yes,yes,High,Male
1366,yes,yes,High,Male
1367,yes,yes,High,Male
1368,yes,yes,High,Male
1369,yes,yes,High,Male
1370,yes,yes,High,Male
1371,yes,yes,High,Male
1372,yes,yes,High,Male
1373,yes,yes,High,Male
1374,yes,yes,High,Male
1375,yes,yes,High,Male
1376,yes,yes,High,Male
1377,yes,yes,High,Male
1378,yes,yes,High,Male
1379,yes,yes,High,Male
1380,yes,yes,High,Male
1381,yes,yes,High,Male
1382,yes,yes,High,Male
1383,yes,yes,High,Male
1384,yes,yes,High,Male
1385,yes,yes,High,Male
1386,yes,yes,High,Male
1387,yes,yes,High,Male
1388,yes,yes,High,Male
1389,yes,yes,High,Male
1390,yes,yes,High,Male
1391,yes,yes,High,Male
1392,yes,yes,High,Male
1393,yes,yes,High,Male
1394,yes,yes,High,Male
1395,yes,yes,High,Male
1396,yes,yes,High,Male
1397,yes,yes,High,Male
1398,yes,yes,High,Male
1399,yes,yes,High,Male
1400,yes,yes,High,Male
1401,yes,yes,High,Male
1402,yes,yes,High,Male
1403,yes,yes,High,Male
1404,yes,yes,High,Male
1405,yes,yes,High,Male
1406,yes,yes,High,Male
1407,yes,yes,High,Male
1408,yes,yes,High,Male
1409,yes,yes,High,Male
1410,yes,yes,High,Male
1411,yes,yes,High,Male
1412,yes,yes,High,Male
1413,yes,yes,High,Male
1414,yes,yes,High,Male
1415,yes,yes,High,Male
1416,yes,yes,High,Male
1417,yes,yes,High,Male
1418,yes,yes,High,Male
1419,yes,yes,High,Male
1420,yes,yes,High,Male
1421,yes,yes,High,Male
1422,yes,yes,High,Male
1423,yes,yes,High,Male
1424,yes,yes,High,Male
1425,yes,yes,High,Male
1426,yes,yes,High,Male
1427,yes,yes,High,Male
1428,yes,yes,High,Male
1429,yes,yes,High,Male
1430,yes,yes,High,Male
1431,yes,yes,High,Male
1432,yes,yes,High,Male
1433,yes,yes,High,Male
1434,yes,yes,High,Male
1435,yes,yes,High,Male
1436,yes,yes,High,Male
1437,yes,yes,High,Male
1438,yes,yes,High,Male
1439,yes,yes,High,Male
1440,yes,yes,High,Male
1441,yes,yes,High,Male
1442,yes,yes,High,Male
1443,yes,yes,High,Male
1444,yes,yes,High,Male
1445,yes,yes,High,Male
1446,yes,yes,High,Male
1447,yes,yes,High,Male
1448,yes,yes,High,Male
1449,yes,yes,High,Male
1450,yes,yes,High,Male
1451,yes,yes,High,Male
1452,yes,yes,High,Male
1453,yes,yes,High,Male
1454,yes,yes,High,Male
1455,yes,yes,High,Male
1456,yes,yes,High,Male
1457,yes,yes,High,Male
1458,yes,yes,High,Male
1459,yes,yes,High,Male
1460,yes,yes,High,Male
1461,yes,yes,High,Male
1462,yes,yes,High,Male
1463,yes,yes,High,Male
1464,yes,yes,High,Male
1465,yes,yes,High,Male
1466,yes,yes,High,Male
1467,yes,yes,High,Male
1468,yes,yes,High,Male
1469,yes,yes,High,Male
1470,yes,yes,High,Male
1471,yes,yes,High,Male
1472,yes,yes,High,Male
1473,yes,yes,High,Male
1474,yes,yes,High,Male
1475,yes,yes,High,Male
1476,yes,yes,High,Male
1477,yes,yes,High,Male
1478,yes,yes,High,Male
1479,yes,yes,High,Male
1480,yes,yes,High,Male
1481,yes,yes,High,Male
1482,yes,yes,High,Male
1483,yes,yes,High,Male
1484,yes,yes,High,Male
1485,yes,yes,High,Male
1486,yes,yes,High,Male
1487,yes,yes,High,Male
1488,yes,yes,High,Male
1489,yes,yes,High,Male
1490,yes,yes,High,Male
1491,yes,yes,High,Male
1492,yes,yes,High,Male
1493,yes,yes,High,Male
1494,yes,yes,High,Male
1495,yes,yes,High,Male
1496,yes,yes,High,Male
1497,yes,yes,High,Male
1498,yes,yes,High,Male
1499,yes,yes,High,Male
1500,yes,yes,High,Male
1501,yes,yes,High,Male
1502,yes,yes,High,Male
1503,yes,yes,High,Male
1504,yes,yes,High,Male
1505,yes,yes,High,Male
1506,yes,yes,High,Male
1507,yes,yes,High,Male
1508,yes,yes,High,Male
1509,yes,yes,High,Male
1510,yes,yes,High,Male
1511,yes,yes,High,Male
1512,yes,yes,High,Male
1513,yes,yes,High,Male
1514,yes,yes,High,Male
1515,yes,yes,High,Male
1516,yes,yes,High,Male
1517,yes,yes,High,Male
1518,yes,yes,High,Male
1519,yes,yes,High,Male
1520,yes,yes,High,Male
1521,yes,yes,High,Male
1522,yes,yes,High,Male
1523,yes,yes,High,Male
1524,yes,yes,High,Male
1525,yes,yes,High,Male
1526,yes,yes,High,Male
1527,yes,yes,High,Male
1528,yes,yes,High,Male
1529,yes,yes,High,Male
1530,yes,yes,High,Male
1531,yes,yes,High,Male
1532,yes,yes,High,Male
1533,yes,yes,High,Male
1534,yes,yes,High,Male
1535,yes,yes,High,Male
1536,yes,yes,High,Male
1537,yes,yes,High,Male
1538,yes,yes,High,Male
1539,yes,yes,High,Male
1540,yes,yes,High,Male
1541,yes,yes,High,Male
1542,yes,yes,High,Male
1543,yes,yes,High,Male
1544,yes,yes,High,Male
1545,yes,yes,High,Male
1546,yes,yes,High,Male
1547,yes,yes,High,Male
1548,yes,yes,High,Male
1549,yes,yes,High,Male
1550,yes,yes,High,Male
1551,yes,yes,High,Male
1552,yes,yes,High,Male
1553,yes,yes,High,Male
1554,yes,yes,High,Male
1555,yes,yes,High,Male
1556,yes,yes,High,Male
1557,yes,yes,High,Male
1558,yes,yes,High,Male
1559,yes,yes,High,Male
1560,yes,yes,High,Male
1561,yes,yes,High,Male
1562,yes,yes,High,Male
1563,yes,yes,High,Male
1564,yes,yes,High,Male
1565,yes,yes,High,Male
1566,yes,yes,High,Male
1567,yes,yes,High,Male
1568,yes,yes,High,Male
1569,yes,yes,High,Male
1570,yes,yes,High,Male
1571,yes,yes,High,Male
1572,yes,yes,High,Male
1573,yes,yes,High,Male
1574,yes,yes,High,Male
1575,yes,yes,High,Male
1576,yes,yes,High,Male
1577,yes,yes,High,Male
1578,yes,yes,High,Male
1579,yes,yes,High,Male
1580,yes,yes,High,Male
1581,yes,yes,High,Male
1582,yes,yes,High,Male
1583,yes,yes,High,Male
1584,yes,yes,High,Male
1585,yes,yes,High,Male
1586,yes,yes,High,Male
1587,yes,yes,High,Male
1588,yes,yes,High,Male
1589,yes,yes,High,Male
1590,yes,yes,High,Male
1591,yes,yes,High,Male
1592,yes,yes,High,Male
1593,yes,yes,High,Male
1594,yes,yes,High,Male
1595,yes,yes,High,Male
1596,yes,yes,High,Male
1597,yes,yes,High,Male
1598,yes,yes,High,Male
1599,yes,yes,High,Male
